Laptop (ID),Tech price by country,Laptop type price,Sceen size (inches),Resolution quality,CPU (GHz),Ram (GB),GPU (GHz),Weight (kg),Price (euros),Touchscreen,IPS Panel,Retina Display,Flash Storage memory (GB),SSD memory (GB),HDD memory (GB),Hybrid memory (GB),Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS
597,0,2,15.6,0,2.5,8,0.3,2.2,739.0,1,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1173,4,1,15.6,1,2.5,4,1.03,1.91,478.89,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1274,0,5,17.3,1,2.6,16,0.92,4.0,1900.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
252,0,5,17.3,1,2.9,16,1.57,3.6,2999.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
15,4,3,12.0,2,1.2,8,0.3,0.92,1262.4,0,1,1,0,256,0,0,0,0,0,0,0,0,0,0,1
719,4,1,14.0,1,2.8,8,0.95,1.64,1089.0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0
1214,2,1,15.6,0,2.0,4,0.96,1.9,368.0,0,0,0,0,0,1000,0,0,0,0,0,1,0,0,0,0
601,2,1,17.3,1,2.0,4,0.3,2.8,529.0,0,0,0,0,0,500,0,0,0,0,0,1,0,0,0,0
303,2,1,15.6,1,2.4,6,0.96,2.4,499.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
446,0,1,15.6,1,2.5,4,0.3,2.0,559.0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0
1083,4,5,15.6,4,2.6,16,0.92,3.21,1329.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
1308,4,1,15.6,0,2.4,6,0.3,2.3,459.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1177,4,2,13.3,3,2.6,8,0.3,1.48,2041.0,1,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
354,0,2,11.6,0,1.1,4,0.3,1.5,375.0,1,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0
1039,4,3,12.5,0,2.5,4,0.3,1.26,1559.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
260,4,3,13.3,1,1.6,8,0.3,1.41,949.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
520,4,1,15.6,1,1.8,16,1.02,2.2,1219.24,0,0,0,0,256,2000,0,0,0,0,0,0,1,0,0,0
444,4,3,12.3,2,1.3,16,0.3,1.1,2199.0,1,0,0,0,512,0,0,0,1,0,0,0,0,0,0,0
724,4,1,15.6,1,2.6,8,0.3,1.9,1179.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
800,0,1,14.0,1,1.1,4,0.3,1.22,202.9,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0
108,4,1,14.0,1,2.5,6,1.12,1.58,659.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
620,4,1,15.6,0,2.0,4,0.3,2.25,359.0,0,0,0,0,0,1000,0,0,0,1,0,0,0,0,0,0
499,0,5,15.6,1,2.8,8,1.35,1.99,1350.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
869,4,1,13.3,1,2.3,8,0.3,1.62,649.0,1,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
268,4,1,15.6,1,2.5,4,0.3,2.18,657.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1236,2,5,15.6,1,2.6,8,1.13,2.6,1272.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
209,2,5,15.6,1,2.8,16,1.4,2.4,1398.0,0,0,0,0,512,0,0,0,0,0,0,1,0,0,0,0
767,4,5,15.6,4,2.8,16,1.44,4.42,2868.99,0,1,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
28,4,1,15.6,1,1.6,8,1.02,2.2,800.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
752,2,4,15.6,4,2.8,16,0.76,2.5,3299.0,0,1,0,0,1000,0,0,0,0,0,0,0,1,0,0,0
332,0,1,15.6,0,2.5,6,0.3,2.23,549.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
64,0,1,14.0,1,1.6,8,0.3,1.4,941.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
776,4,5,15.6,4,2.6,16,1.1,2.72,1099.0,1,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
73,4,3,13.3,1,1.8,8,1.02,1.4,955.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
862,0,5,15.6,1,2.8,16,1.4,2.1,1899.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
666,2,5,15.6,1,2.6,8,1.13,3.31,1196.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
356,4,1,15.6,4,2.8,16,1.35,2.06,2027.42,1,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
910,4,1,15.6,0,2.0,4,0.78,2.18,614.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
588,4,1,15.6,0,2.6,8,0.3,1.9,1008.52,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
671,4,1,15.6,1,2.0,6,0.96,2.04,539.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1051,5,3,14.0,1,2.6,8,0.3,1.47,1725.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1222,0,5,15.6,1,2.6,8,1.4,2.2,1169.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
227,5,3,13.3,1,2.5,8,0.3,1.2,1363.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
317,5,5,15.6,1,2.8,16,1.44,2.8,2099.0,0,1,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
194,2,2,14.0,3,2.7,16,0.3,1.42,2824.0,1,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,0
525,4,1,15.6,1,2.5,8,0.95,2.04,889.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1283,2,1,15.6,1,2.6,8,1.1,2.6,899.0,0,1,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
785,2,1,15.6,4,2.7,16,1.04,2.5,2370.0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,1,0
780,1,2,15.0,1,2.7,16,1.22,1.71,1799.0,1,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
518,0,1,15.6,1,2.7,4,1.12,2.2,639.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
393,4,4,15.6,1,2.6,8,0.93,2.23,1369.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
876,4,1,15.6,1,2.3,4,0.3,2.07,910.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
84,4,1,14.0,1,1.6,8,0.3,1.63,860.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
500,0,1,15.6,0,2.5,8,1.22,2.2,579.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
494,4,1,15.6,1,2.8,16,1.35,2.06,1899.0,0,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
1212,4,2,13.3,1,2.5,8,0.3,1.6,1199.0,1,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
256,0,5,17.3,1,2.8,16,1.04,4.3,1799.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
405,4,4,15.6,4,2.8,8,0.99,1.78,2712.0,1,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
947,2,2,13.3,3,2.2,16,0.3,1.3,1799.0,1,1,0,0,1000,0,0,0,0,0,0,0,1,0,0,0
378,0,5,17.3,1,3.0,16,1.0,3.25,2199.0,0,1,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
919,0,1,15.6,1,1.5,4,0.35,2.2,359.0,0,1,0,16,0,0,0,0,1,0,0,0,0,0,0,0
48,0,5,17.3,1,3.0,8,1.0,3.2,1299.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
1255,4,1,15.6,0,2.3,4,0.3,2.24,737.0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,1,0
674,4,1,15.6,1,2.5,8,0.3,2.06,955.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
249,2,2,13.9,1,2.7,8,0.3,1.38,1079.0,1,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
578,4,1,14.0,0,1.6,8,0.32,1.94,389.0,0,0,0,0,0,2000,0,0,0,0,0,0,1,0,0,0
971,4,2,11.6,0,1.1,4,0.3,1.45,775.0,1,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1161,4,4,15.6,1,2.6,8,0.99,2.59,2229.0,0,1,0,0,256,0,0,0,0,0,0,0,0,0,1,0
343,4,1,15.6,1,2.5,8,0.3,1.84,1144.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1239,5,5,15.6,1,2.6,8,1.4,2.2,1476.11,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
879,0,1,14.0,1,2.5,8,0.3,1.56,902.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
515,4,3,13.3,1,2.7,8,0.3,1.34,1323.0,0,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
441,2,1,15.6,1,2.9,16,0.69,2.5,2449.0,0,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
1227,0,5,15.6,1,2.8,16,1.44,2.2,2449.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
548,4,1,14.0,1,2.0,4,0.3,1.6,735.87,0,0,0,0,128,0,0,0,0,0,0,0,1,0,0,0
98,4,1,15.6,1,2.7,8,0.96,2.2,599.9,0,0,0,0,0,1000,0,0,0,1,0,0,0,0,0,0
681,2,1,15.6,0,2.2,4,0.3,2.2,349.0,0,0,0,0,128,0,0,0,0,0,0,0,1,0,0,0
1104,0,1,15.6,0,2.2,4,0.8,2.4,387.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
797,0,5,17.3,1,2.8,16,1.4,4.2,2299.0,0,1,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
803,4,3,12.0,2,1.2,8,0.1,0.92,1165.0,0,1,1,512,0,0,0,0,0,0,1,0,0,0,0,0
881,2,1,15.6,0,2.5,4,0.3,2.38,1055.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
1045,0,1,15.6,0,3.0,6,0.8,2.1,409.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
649,4,1,17.0,0,3.0,8,0.8,2.6,520.9,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
535,4,1,15.6,1,2.5,4,0.96,2.3,585.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
963,0,1,14.0,0,1.6,4,0.32,1.68,349.0,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0
536,4,1,15.6,1,2.8,8,0.3,1.9,1377.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
152,0,1,15.6,0,2.0,4,0.3,2.1,447.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
210,4,1,15.6,0,2.4,6,0.3,2.3,439.0,1,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1249,4,5,14.0,1,2.8,16,1.4,1.95,3499.0,0,0,0,0,1000,0,0,0,0,0,0,0,1,0,0,0
678,4,3,13.5,2,2.8,8,0.3,1.252,1867.85,1,0,0,0,256,0,0,0,0,0,0,0,0,1,0,0
676,5,1,15.6,1,2.5,8,0.3,2.0,1258.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
410,0,1,15.6,1,2.8,8,1.35,2.5,879.0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0
246,0,1,17.3,1,1.8,8,1.47,2.1,1145.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
1303,2,2,13.3,3,2.5,16,0.3,1.3,1499.0,1,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
346,4,1,15.6,0,1.6,4,0.35,2.2,274.9,0,0,0,0,0,500,0,0,0,1,0,0,0,0,0,0
783,4,3,12.5,0,2.3,4,0.3,1.26,1244.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
150,0,1,15.6,1,1.1,4,0.3,2.0,344.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
1029,5,1,13.3,0,2.3,8,0.3,1.5,1210.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1209,1,2,12.3,2,2.0,4,0.7,1.15,659.0,1,1,0,32,0,0,0,0,1,0,0,0,0,0,0,0
922,1,3,14.0,1,2.7,8,0.3,0.98,1899.0,1,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
837,0,0,11.6,0,1.6,4,0.32,1.35,355.0,0,1,0,32,0,0,0,0,1,0,0,0,0,0,0,0
961,2,1,15.6,1,2.7,8,0.97,2.2,685.0,0,0,0,0,0,1000,0,0,0,0,0,1,0,0,0,0
575,2,1,15.6,1,1.1,4,0.3,2.2,344.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
611,4,1,15.6,0,2.0,4,0.78,2.18,465.0,0,0,0,0,0,1000,0,0,0,1,0,0,0,0,0,0
636,4,1,15.6,1,2.8,8,1.35,2.0,1820.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
433,4,1,15.6,1,1.8,8,1.02,2.02,1142.4,0,0,0,0,256,2000,0,0,0,0,0,0,1,0,0,0
1250,4,1,15.6,0,2.4,8,0.3,2.3,469.01,1,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
348,4,1,15.6,1,2.4,8,0.95,2.1,716.0,0,1,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
807,2,2,13.9,1,2.7,8,0.3,1.38,1349.0,1,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
434,4,3,14.0,1,2.8,8,0.3,1.6,1099.0,0,0,0,0,256,0,0,0,0,1,0,0,0,0,0,0
1223,4,1,15.6,1,2.5,8,0.92,2.36,889.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1003,4,1,14.0,1,2.5,8,0.3,1.6,1119.0,0,0,0,0,128,0,0,0,0,0,0,0,1,0,0,0
528,4,3,13.3,1,2.7,8,0.3,1.32,1399.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
413,5,3,13.3,1,2.5,16,0.3,1.2,1747.0,0,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
484,2,1,14.0,1,2.5,8,0.3,1.7,1364.0,0,0,0,0,180,0,0,0,0,0,0,0,1,0,0,0
297,4,1,17.3,0,2.0,8,0.3,2.54,489.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
917,1,3,15.6,1,2.7,16,0.3,1.08,2099.0,1,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
1038,4,1,15.6,1,2.4,8,0.3,2.09,1046.44,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
1099,4,1,15.6,1,2.5,8,0.3,2.18,750.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1112,5,5,17.3,1,2.6,8,0.92,2.6,1599.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
662,4,1,15.6,0,2.0,4,0.3,1.86,364.9,0,0,0,0,0,500,0,0,0,0,0,1,0,0,0,0
874,2,5,15.6,1,2.5,8,1.35,2.5,1017.0,0,1,0,0,0,1000,0,0,0,0,0,1,0,0,0,0
801,2,2,13.3,1,2.7,8,0.3,1.37,1970.0,1,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
854,4,3,14.0,1,2.5,8,0.3,1.54,1870.0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,1,0
931,5,5,17.3,1,2.8,16,1.49,2.7,1599.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
813,4,0,11.6,0,1.1,4,0.3,1.63,744.0,0,0,0,0,128,0,0,0,0,0,0,0,1,0,0,0
938,2,2,13.3,1,2.5,8,0.3,1.37,1825.0,1,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
144,2,1,14.0,1,1.6,8,1.29,1.75,1116.02,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
951,5,5,15.6,1,2.8,8,1.35,2.2,1199.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
341,4,1,14.0,1,2.6,8,0.3,1.48,1268.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1124,0,5,15.6,1,2.6,16,1.1,2.59,1339.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
607,4,1,15.6,1,2.7,8,0.3,1.84,1219.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
633,3,1,14.0,1,1.44,2,0.35,1.4,239.0,0,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0
61,4,1,17.3,1,1.8,16,1.02,2.8,1299.0,0,0,0,0,256,2000,0,0,0,0,0,0,1,0,0,0
1125,4,1,13.3,3,1.1,8,0.3,1.16,1699.0,1,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1320,0,1,15.6,0,1.6,4,0.35,2.2,369.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
918,4,0,12.5,1,2.7,8,0.3,1.26,1483.0,0,0,0,0,512,0,0,0,0,0,0,0,1,0,0,0
836,4,1,14.0,0,2.0,4,0.3,1.76,585.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
143,0,1,17.3,1,2.7,4,1.12,3.0,655.0,0,1,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
262,4,1,17.3,1,1.8,16,1.47,2.9,1059.0,0,1,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
426,2,3,14.0,1,1.8,8,1.29,1.75,1215.38,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
380,4,2,13.3,1,1.8,8,0.3,1.62,869.01,1,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
549,4,3,13.3,3,2.7,8,0.3,1.34,1145.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
658,0,5,17.3,1,2.7,32,1.57,3.8,2799.0,0,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
960,4,3,12.5,1,2.5,8,0.35,1.36,1472.2,1,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
19,2,1,15.6,1,2.4,8,1.12,2.2,499.0,0,0,0,0,0,1000,0,0,0,0,0,1,0,0,0,0
651,0,5,15.6,1,2.8,8,1.49,2.5,1169.0,0,1,0,0,0,1000,0,0,0,0,0,1,0,0,0,0
181,5,5,18.4,1,2.9,32,1.13,4.4,2799.0,0,0,0,0,512,1000,0,0,0,0,0,0,1,0,0,0
275,4,3,13.3,3,2.9,8,0.3,1.37,1958.9,0,1,1,0,512,0,0,0,0,0,0,0,0,0,0,1
170,0,1,15.6,0,1.1,4,0.3,2.1,363.51,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
723,2,1,14.0,1,2.5,8,0.97,1.87,857.07,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
289,0,1,15.6,1,1.8,8,1.47,3.0,951.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
829,2,1,15.6,0,2.0,4,0.3,2.1,489.9,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
1048,4,1,15.6,1,2.5,8,0.3,1.84,1228.99,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
88,4,3,15.6,1,1.8,8,1.12,1.83,699.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
591,4,0,11.6,0,1.6,4,0.32,1.26,295.0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0
216,0,5,17.3,1,2.8,16,1.35,2.9,1407.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
58,0,1,15.6,0,2.5,4,0.3,2.0,586.19,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
142,4,1,13.3,1,2.5,4,0.3,1.32,699.0,0,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
51,2,2,10.1,2,1.44,4,0.32,0.69,319.0,1,1,0,64,0,0,0,1,0,0,0,0,0,0,0,0
477,4,2,13.3,4,1.8,8,0.3,1.29,1999.0,1,1,0,0,512,0,0,0,0,0,0,0,1,0,0,0
309,0,5,15.6,1,2.8,8,1.49,2.5,1265.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
828,4,1,14.0,0,2.3,4,0.3,1.76,755.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
168,0,1,15.6,0,1.1,4,0.3,2.1,348.0,0,0,0,0,0,1000,0,0,0,0,0,0,1,0,0,0
366,4,1,15.6,0,2.0,4,0.3,1.86,439.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
694,4,1,15.6,0,2.5,4,1.03,1.86,612.61,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
158,4,1,15.6,1,1.6,6,1.03,1.91,619.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
90,0,5,15.6,1,2.8,16,1.4,2.2,1449.0,0,1,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
468,0,0,11.6,0,1.6,4,0.32,1.4,435.0,0,0,0,0,128,0,0,0,0,0,0,0,1,0,0,0
526,0,5,17.3,1,2.8,16,1.49,3.0,1504.0,0,0,0,0,256,1000,0,0,0,0,0,0,1,0,0,0
1290,2,1,14.0,0,1.6,2,0.35,1.5,229.0,0,0,0,64,0,0,0,0,0,0,0,0,1,0,0,0
263,5,5,17.3,1,2.8,16,1.44,4.14,2499.0,0,0,0,0,512,1000,0,0,0,0,0,0,1,0,0,0
1072,4,2,13.3,1,2.7,12,0.3,1.6,1299.0,1,1,0,0,256,0,0,0,0,0,0,0,1,0,0,0
334,4,3,12.5,1,2.7,8,0.3,1.26,1335.0,0,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
1216,0,1,15.6,0,2.0,4,0.3,2.1,272.0,0,0,0,0,0,1000,0,0,0,1,0,0,0,0,0,0
1058,4,1,14.0,1,2.3,4,0.3,1.54,1000.0,0,0,0,0,0,500,0,0,0,0,0,0,1,0,0,0
564,2,1,17.3,0,2.7,6,1.12,2.8,949.0,0,0,0,0,128,1000,0,0,0,0,0,0,1,0,0,0
644,4,3,13.3,3,1.6,8,0.3,1.23,1869.0,1,0,0,0,256,0,0,0,0,0,0,0,1,0,0,0
